Date,RU-JLN-h1,RU-JLN-h3,RU-JLN-h12
1960-07-01T00:00:00Z,0.670371680476541,0.767934333281169,0.869909903440989
1960-08-01T00:00:00Z,0.687635984859267,0.780322633122031,0.873863638776722
1960-09-01T00:00:00Z,0.697335819018292,0.787220103379461,0.877998361365045
1960-10-01T00:00:00Z,0.715737564506066,0.801183344373992,0.884426644670617
1960-11-01T00:00:00Z,0.758404299971287,0.827904008617214,0.892531181255682
1960-12-01T00:00:00Z,0.775963386767719,0.840971545871444,0.898243788174354
1961-01-01T00:00:00Z,0.751537355566656,0.828604024590379,0.895693519030147
1961-02-01T00:00:00Z,0.73945548959843,0.820350083489615,0.892435831476848
1961-03-01T00:00:00Z,0.753281943636349,0.829014811957326,0.895047713285622
1961-04-01T00:00:00Z,0.768570805735058,0.835467932798869,0.89410841750072
1961-05-01T00:00:00Z,0.746070503966338,0.823088710758216,0.890700010554365
1961-06-01T00:00:00Z,0.729679271362597,0.813312613360607,0.887394638805883
1961-07-01T00:00:00Z,0.711734556777795,0.804988124176988,0.885962267903954
1961-08-01T00:00:00Z,0.706745732251782,0.804620582269217,0.88761424126016
1961-09-01T00:00:00Z,0.722126969823283,0.813672963440858,0.890127352460983
1961-10-01T00:00:00Z,0.725728735758097,0.813500738459704,0.889427818586827
1961-11-01T00:00:00Z,0.715706513268998,0.80499873701042,0.885798091650221
1961-12-01T00:00:00Z,0.693688949801794,0.79278979697833,0.882936425083558
1962-01-01T00:00:00Z,0.701112372128079,0.798495741368118,0.884665947864288
1962-02-01T00:00:00Z,0.692785691607649,0.796640771921151,0.883778323157134
1962-03-01T00:00:00Z,0.673624850533084,0.781448897523008,0.877262923531416
1962-04-01T00:00:00Z,0.67061789035342,0.77758413863864,0.874808816124723
1962-05-01T00:00:00Z,0.661590942428462,0.769028396838559,0.870768471070089
1962-06-01T00:00:00Z,0.647261983429355,0.757755125575035,0.865428602214848
1962-07-01T00:00:00Z,0.641662573575231,0.748945684647458,0.860319549695957
1962-08-01T00:00:00Z,0.630038535198386,0.737927103819285,0.8544652418928
1962-09-01T00:00:00Z,0.623028941206183,0.730609517821152,0.8504936957329
1962-10-01T00:00:00Z,0.621222858962858,0.727785439469245,0.848271254851614
1962-11-01T00:00:00Z,0.629066150419271,0.731583112576762,0.846904636185176
1962-12-01T00:00:00Z,0.637467920458146,0.73568194622685,0.846337154906814
1963-01-01T00:00:00Z,0.645274648655025,0.738306133550191,0.846104210468512
1963-02-01T00:00:00Z,0.638089603403022,0.73391969800376,0.845069941070569
1963-03-01T00:00:00Z,0.629260030555216,0.729553123905256,0.845350424636544
1963-04-01T00:00:00Z,0.639331368640987,0.73609165602604,0.847856718359068
1963-05-01T00:00:00Z,0.637979032634658,0.734051366573727,0.847194710474517
1963-06-01T00:00:00Z,0.627267926187978,0.729023422335702,0.846878473234821
1963-07-01T00:00:00Z,0.623288659200578,0.727910444798032,0.847520328646371
1963-08-01T00:00:00Z,0.623706859712207,0.729832167392496,0.848732724580192
1963-09-01T00:00:00Z,0.625929826769398,0.733288436473672,0.852039370047645
1963-10-01T00:00:00Z,0.62475430691506,0.735122403835059,0.855857512418848
1963-11-01T00:00:00Z,0.633917327609459,0.744932578495122,0.861303183144872
1963-12-01T00:00:00Z,0.651515610310196,0.756504639288029,0.864585129676513
1964-01-01T00:00:00Z,0.668075802103297,0.767197220006562,0.869234507291027
1964-02-01T00:00:00Z,0.667710601709245,0.768150773362795,0.870991727919292
1964-03-01T00:00:00Z,0.666315416073911,0.765364211115593,0.871606506063353
1964-04-01T00:00:00Z,0.686804326830585,0.775349279252352,0.874706229432711
1964-05-01T00:00:00Z,0.662853968882839,0.764045243815047,0.874559203531247
1964-06-01T00:00:00Z,0.65613974637165,0.763776535061314,0.877578794938922
1964-07-01T00:00:00Z,0.665330214698065,0.774746447576895,0.884532139040165
1964-08-01T00:00:00Z,0.687301275712344,0.7929856153542,0.892819088161537
1964-09-01T00:00:00Z,0.72278427786446,0.821490803741343,0.905130974509197
1964-10-01T00:00:00Z,0.789694107447914,0.867130502583465,0.921779807026422
1964-11-01T00:00:00Z,0.805654981696192,0.879101815748567,0.928739119693033
1964-12-01T00:00:00Z,0.755243754611297,0.84368762761669,0.913357444274672
1965-01-01T00:00:00Z,0.712076753985908,0.813593189247291,0.901273033114522
1965-02-01T00:00:00Z,0.681405150378357,0.79312639912445,0.892148358963379
1965-03-01T00:00:00Z,0.667426877349187,0.780533508895538,0.885645830798701
1965-04-01T00:00:00Z,0.658021380652543,0.770733943548944,0.879702120326909
1965-05-01T00:00:00Z,0.644385387976465,0.759218081419443,0.874315848052556
1965-06-01T00:00:00Z,0.635223696696237,0.753460373366277,0.871831658873513
1965-07-01T00:00:00Z,0.644946082124822,0.758338088832069,0.871948000527943
1965-08-01T00:00:00Z,0.642168050824897,0.75253306168346,0.86868362351026
1965-09-01T00:00:00Z,0.655002250974145,0.756489902359491,0.86777947930569
1965-10-01T00:00:00Z,0.646675536211672,0.751494426552091,0.867594697891352
1965-11-01T00:00:00Z,0.641836813126097,0.749705715230294,0.868552168427704
1965-12-01T00:00:00Z,0.644716383069027,0.753477671476612,0.871510828048379
1966-01-01T00:00:00Z,0.641156229974393,0.752416052566555,0.871474435201529
1966-02-01T00:00:00Z,0.650334650841364,0.761427356594968,0.875571545401454
1966-03-01T00:00:00Z,0.659880132188315,0.768009031245745,0.878455986349604
1966-04-01T00:00:00Z,0.670784310114698,0.773911564940651,0.878810369498857
