Date,NAM
1985-01-31,100
1985-02-28,101.1250541127233
1985-03-31,102.86894265995454
1985-04-30,105.5264964692173
1985-05-31,94.82059477429993
1985-06-30,88.42087310203173
1985-07-31,85.86469108845951
1985-08-31,82.76814810464317
1985-09-30,89.15417018306141
1985-10-31,96.47792221653371
1985-11-30,104.04441674145941
1985-12-31,116.33438504490078
1986-01-31,130.3467089047374
1986-02-28,149.67411499033588
1986-03-31,150.11561879920637
1986-04-30,140.3512602090125
1986-05-31,137.35683272819716
1986-06-30,129.5542854108014
1986-07-31,122.5509605536352
1986-08-31,118.34115194974943
1986-09-30,118.8908258213746
1986-10-31,114.62313620956888
1986-11-30,117.8762942496239
1986-12-31,131.6275182799654
1987-01-31,140.1815973698488
1987-02-28,127.62291476858034
1987-03-31,107.07394684736005
1987-04-30,97.42281053363585
1987-05-31,85.09018294133354
1987-06-30,77.96349509788631
1987-07-31,75.94186853933917
1987-08-31,80.68617730942202
1987-09-30,90.01992145738753
1987-10-31,104.80416203602705
1987-11-30,101.73795430821355
1987-12-31,96.00891989900465
1988-01-31,90.31517981218103
1988-02-29,77.84962346629185
1988-03-31,64.60393936672
1988-04-30,58.29189300292934
1988-05-31,50.70976363606777
1988-06-30,48.489691823617726
1988-07-31,45.19668082772485
1988-08-31,43.58854354993713
1988-09-30,44.71240990005674
1988-10-31,46.53568279201673
1988-11-30,51.65692536975892
1988-12-31,64.2178333758538
1989-01-31,82.26901201107675
1989-02-28,86.68386853747376
1989-03-31,86.1672417453939
1989-04-30,88.10163967169711
1989-05-31,94.64695656064295
1989-06-30,91.94166150135511
1989-07-31,92.6215876860622
1989-08-31,91.474777773599385
1989-09-30,80.33854256923425
1989-10-31,78.69732514454991
1989-11-30,82.32197964255269
1989-12-31,100.2599163725449
1990-01-31,124.95844200987243
1990-02-28,122.07952544553908
1990-03-31,114.29989393725862
1990-04-30,111.40123983414689
1990-05-31,108.89213532997819
1990-06-30,109.00065349093315
1990-07-31,117.80017183904062
1990-08-31,132.6897559768734
1990-09-30,127.44895412753327
1990-10-31,132.91630759441006
1990-11-30,143.18223133682432
1990-12-31,141.01407855470615
1991-01-31,138.9376870277372
1991-02-28,128.56586286052405
1991-03-31,110.32545903989661
1991-04-30,95.04979656431412
1991-05-31,80.16828248783784
1991-06-30,69.64374431620813
1991-07-31,56.6444105423833
1991-08-31,47.874451570449196
1991-09-30,44.180349385486785
1991-10-31,40.71897934056161
1991-11-30,42.653611023842565
1991-12-31,48.71024301423055
1992-01-31,50.57019422871497
1992-02-29,50.29441463708291
1992-03-31,44.2260711613609
1992-04-30,42.29530302592339
1992-05-31,34.49830093818376
1992-06-30,32.37292927558092
1992-07-31,32.459545605819365
1992-08-31,30.71517338737661
1992-09-30,34.67668908629706
1992-10-31,39.172865786956095
1992-11-30,34.101327449972935
1992-12-31,34.62522711495604
1993-01-31,34.54761884970288
1993-02-28,29.116719095915784
1993-03-31,25.855911610803712
1993-04-30,20.673253933967057
1993-05-31,14.494527067552651
1993-06-30,6.698840694286061
1993-07-31,-0
1993-08-31,0.47048249329852904
1993-09-30,4.4009082046949946
1993-10-31,9.689018618349625
1993-11-30,10.349909487642533
1993-12-31,23.33794418316151
1994-01-31,31.776627036447042
1994-02-28,32.278242632805
1994-03-31,32.458913474777596
1994-04-30,23.47976007344684
1994-05-31,18.995759568906738
1994-06-30,13.708266527562998
1994-07-31,12.677643794714823
1994-08-31,12.522823758955306
1994-09-30,13.781268317648538
1994-10-31,16.022515686324198
1994-11-30,15.442445164017615
1994-12-31,20.91862885757787
1995-01-31,24.562359458799985
1995-02-28,31.388797949801585
1995-03-31,30.19947197240535
1995-04-30,30.93307402562977
1995-05-31,29.98704621370651
1995-06-30,23.79776731569841
1995-07-31,21.0336428317145
1995-08-31,21.186129034070795
1995-09-30,16.971594921509585
1995-10-31,19.486574271555245
1995-11-30,27.430893061242536
1995-12-31,36.42687480889834
1996-01-31,52.98484750185267
1996-02-29,59.940704060485395
1996-03-31,52.44397066647226
1996-04-30,40.35199588908561
1996-05-31,30.85126460561068
1996-06-30,24.864939417781997
1996-07-31,21.57494726754322
1996-08-31,17.723257688545104
1996-09-30,14.661494708083364
1996-10-31,14.831560229367943
1996-11-30,14.648153973970166
1996-12-31,15.508550893323864
1997-01-31,16.931382061464866
1997-02-28,19.972639068302133
1997-03-31,18.1112211178655
1997-04-30,18.88402722647064
1997-05-31,16.63062119387808
1997-06-30,14.628785360776265
1997-07-31,17.814600569122927
1997-08-31,22.869387194181908
1997-09-30,19.084484192432523
1997-10-31,19.876784761016665
1997-11-30,23.327635339744486
1997-12-31,27.61870835884296
1998-01-31,31.380014512676365
1998-02-28,31.245063485500335
1998-03-31,32.967584720870704
1998-04-30,39.64567019047872
1998-05-31,47.029048558395594
1998-06-30,59.104603268139435
1998-07-31,70.22943793755084
1998-08-31,88.05745706088199
1998-09-30,86.68616430947328
1998-10-31,78.74123378252425
1998-11-30,71.499539681949
