Date,MU_JLN_h1,MU_JLN_h3,MU_JLN_h12
1960-07-01T00:00:00Z,0.613670449650569,0.740958395747367,0.86695199390663
1960-08-01T00:00:00Z,0.62227840856755,0.74719203266242,0.868950515655031
1960-09-01T00:00:00Z,0.629219043839403,0.753152617719445,0.873243946985788
1960-10-01T00:00:00Z,0.638484142601181,0.761615041678371,0.878194039752395
1960-11-01T00:00:00Z,0.663742604203178,0.779061240049667,0.885862742848678
1960-12-01T00:00:00Z,0.677273622434566,0.791644938958166,0.89392001153793
1961-01-01T00:00:00Z,0.66683977869127,0.789948133669431,0.897891676375485
1961-02-01T00:00:00Z,0.663244345141815,0.788938567545446,0.900516790487227
1961-03-01T00:00:00Z,0.663417544128076,0.787807005689872,0.899167362293351
1961-04-01T00:00:00Z,0.668243127864486,0.786822888869157,0.894503800770577
1961-05-01T00:00:00Z,0.65280455692013,0.775903381324455,0.89031702154514
1961-06-01T00:00:00Z,0.642612325194332,0.768669817506829,0.886796484528469
1961-07-01T00:00:00Z,0.627120783280384,0.758977926808566,0.883722086554113
1961-08-01T00:00:00Z,0.620011400477626,0.753791389362196,0.881268294979538
1961-09-01T00:00:00Z,0.62247045000464,0.751866895778833,0.875878714075997
1961-10-01T00:00:00Z,0.621262231539807,0.747444072744586,0.870240589967556
1961-11-01T00:00:00Z,0.615298143051024,0.740751113006062,0.864185031221802
1961-12-01T00:00:00Z,0.603118397527091,0.73305005172299,0.859681033279158
1962-01-01T00:00:00Z,0.607018172099105,0.735813419788531,0.858952975610685
1962-02-01T00:00:00Z,0.603286564027199,0.735074552986956,0.8573721593691
1962-03-01T00:00:00Z,0.593228304310298,0.726911437059591,0.853492954632606
1962-04-01T00:00:00Z,0.5944490430223,0.72613806746046,0.850309717748925
1962-05-01T00:00:00Z,0.592922171770423,0.724085599004825,0.84837610738954
1962-06-01T00:00:00Z,0.587703361810129,0.719721010916277,0.845085676638274
1962-07-01T00:00:00Z,0.579992724844518,0.71106164397487,0.840416302577806
1962-08-01T00:00:00Z,0.569532886958012,0.70130640924583,0.834153476961571
1962-09-01T00:00:00Z,0.564422322733607,0.695704848531588,0.82861910565497
1962-10-01T00:00:00Z,0.561078665874575,0.690742536118359,0.82368048218813
1962-11-01T00:00:00Z,0.560174448055726,0.68692899025171,0.818070561904646
1962-12-01T00:00:00Z,0.557591535527719,0.681302725646476,0.812498531799937
1963-01-01T00:00:00Z,0.556726615160983,0.676343733946228,0.807857304520841
1963-02-01T00:00:00Z,0.549581847858977,0.668654673538014,0.803487262945581
1963-03-01T00:00:00Z,0.540163024736452,0.66213144364543,0.801287293249969
1963-04-01T00:00:00Z,0.544648229157917,0.664931848485807,0.8023818134554
1963-05-01T00:00:00Z,0.543563334086368,0.663847189692645,0.802491209457357
1963-06-01T00:00:00Z,0.539513265025333,0.661855945728139,0.802689979756601
1963-07-01T00:00:00Z,0.537702437366592,0.660827841475371,0.80352301636161
1963-08-01T00:00:00Z,0.539389258248133,0.663991425503228,0.80610273227632
1963-09-01T00:00:00Z,0.54019847677556,0.665506135573537,0.806536927791109
1963-10-01T00:00:00Z,0.536562683591452,0.663371972592142,0.805870942310511
1963-11-01T00:00:00Z,0.540125435508125,0.667019462398747,0.807183170835451
1963-12-01T00:00:00Z,0.548649298887263,0.671492570973846,0.807787876562347
1964-01-01T00:00:00Z,0.555539412415735,0.674243745364833,0.807799283249367
1964-02-01T00:00:00Z,0.550900043040334,0.67061428240524,0.806317904794098
1964-03-01T00:00:00Z,0.54622982150973,0.665749483226661,0.805061568688401
1964-04-01T00:00:00Z,0.555251110055574,0.670250397533576,0.80643786680971
1964-05-01T00:00:00Z,0.542007435326043,0.663677064130036,0.806788658363099
1964-06-01T00:00:00Z,0.539224845353981,0.665020441406348,0.810711553826533
1964-07-01T00:00:00Z,0.546155779763111,0.673725599358732,0.817932513257693
1964-08-01T00:00:00Z,0.560830964929116,0.687410028932434,0.825467677617029
1964-09-01T00:00:00Z,0.585454439302071,0.709334440987272,0.83566426165607
1964-10-01T00:00:00Z,0.625997453393504,0.740810075887856,0.848231242017257
1964-11-01T00:00:00Z,0.638653849895108,0.753036266099505,0.854473276581425
1964-12-01T00:00:00Z,0.613220778738355,0.73267014019171,0.845286233298618
1965-01-01T00:00:00Z,0.587677750453622,0.711871027137727,0.835500161713596
1965-02-01T00:00:00Z,0.568954319985549,0.697220343981595,0.828293608569482
1965-03-01T00:00:00Z,0.558274617398556,0.687747289220441,0.823072871545842
1965-04-01T00:00:00Z,0.554937643018896,0.683768050567109,0.819634034598525
1965-05-01T00:00:00Z,0.549379400548158,0.679349373767864,0.817162481637917
1965-06-01T00:00:00Z,0.54964240056854,0.681214279329165,0.817901874749163
1965-07-01T00:00:00Z,0.554750082459383,0.684390891792959,0.818947460636205
1965-08-01T00:00:00Z,0.552513738148782,0.679876707983305,0.816729473919061
1965-09-01T00:00:00Z,0.563506652813394,0.683528845286571,0.817090623214875
1965-10-01T00:00:00Z,0.559732309257745,0.681547643839201,0.817573999024595
1965-11-01T00:00:00Z,0.557699299249872,0.682486754345368,0.81989583263099
1965-12-01T00:00:00Z,0.566814019772335,0.691844369934843,0.825765873868157
1966-01-01T00:00:00Z,0.569364854285014,0.695795763681937,0.828453382998574
1966-02-01T00:00:00Z,0.576056977242205,0.704258182640685,0.834719752026912
1966-03-01T00:00:00Z,0.584109967148238,0.712458171349534,0.840865337264632
1966-04-01T00:00:00Z,0.59498940831283,0.72164635441182,0.845403673583782
