Date,FU_JLN_h1,FU_JLN_h3,FU_JLN_h12
1960-07-01T00:00:00Z,0.890349167612957,0.93342433767032,0.981516285541172
1960-08-01T00:00:00Z,0.906719036617792,0.944555987835973,0.984297505357193
1960-09-01T00:00:00Z,0.923191158686005,0.957559501497053,0.988358277421752
1960-10-01T00:00:00Z,0.896544169206766,0.938706912043899,0.983577101839687
1960-11-01T00:00:00Z,0.888074011501541,0.932823659917913,0.982315245460062
1960-12-01T00:00:00Z,0.883293442912627,0.928664560946051,0.980735614022653
1961-01-01T00:00:00Z,0.892824774322637,0.935013411507313,0.981474549165073
1961-02-01T00:00:00Z,0.875105288936567,0.920906483279944,0.976546556120662
1961-03-01T00:00:00Z,0.855745053915069,0.905835525682145,0.971778587010518
1961-04-01T00:00:00Z,0.838307773015585,0.892193441540093,0.967733587562289
1961-05-01T00:00:00Z,0.834452799579027,0.888965034806027,0.96665713996222
1961-06-01T00:00:00Z,0.836764263026169,0.890540673403799,0.967123558694664
1961-07-01T00:00:00Z,0.818898040697017,0.877446148543443,0.963880660442912
1961-08-01T00:00:00Z,0.819096503269752,0.877329367341404,0.963948104460883
1961-09-01T00:00:00Z,0.829452854151755,0.885027996858513,0.966015336748806
1961-10-01T00:00:00Z,0.830532861605601,0.886695800137712,0.967273572156181
1961-11-01T00:00:00Z,0.841860624836779,0.89524497991221,0.969910268543255
1961-12-01T00:00:00Z,0.850272055891257,0.902714408343471,0.972849548249688
1962-01-01T00:00:00Z,0.867135760899689,0.917222560381135,0.978363636810614
1962-02-01T00:00:00Z,0.890853251514959,0.936320401236918,0.984675756709827
1962-03-01T00:00:00Z,0.940184151095634,0.974176197067179,0.996182869242939
1962-04-01T00:00:00Z,1.01249104020356,1.02899385225487,1.01233684157097
1962-05-01T00:00:00Z,1.06552045985605,1.06875433164033,1.02406656803311
1962-06-01T00:00:00Z,1.06619103291492,1.0705829176047,1.0255065880978
1962-07-01T00:00:00Z,1.03988948297516,1.05135941652982,1.01985484586489
1962-08-01T00:00:00Z,1.01539369561149,1.03237105562269,1.01336210416716
1962-09-01T00:00:00Z,1.0196411381705,1.03469874337638,1.01266316859621
1962-10-01T00:00:00Z,1.00845770740031,1.02590507921171,1.00934426825465
1962-11-01T00:00:00Z,1.02418737074063,1.03599196071244,1.01057560806857
1962-12-01T00:00:00Z,0.959857944081002,0.986972591094682,0.995084178252008
1963-01-01T00:00:00Z,0.917855677516272,0.953634968260708,0.983609495556721
1963-02-01T00:00:00Z,0.854816040497577,0.905419348823248,0.96886678810362
1963-03-01T00:00:00Z,0.806186457662373,0.866882100679351,0.95625550867976306
1963-04-01T00:00:00Z,0.77444201802926,0.840778433604295,0.946718383355564
1963-05-01T00:00:00Z,0.748115370867358,0.818590172156591,0.938065997047594
1963-06-01T00:00:00Z,0.729112692718582,0.802537120224576,0.931631115117546
1963-07-01T00:00:00Z,0.712146151285675,0.788540083693232,0.926299543707381
1963-08-01T00:00:00Z,0.707710598424234,0.784092836657193,0.923593831848531
1963-09-01T00:00:00Z,0.691940708028525,0.770512574440074,0.917811365201718
1963-10-01T00:00:00Z,0.673926801020655,0.755001916606967,0.911357152825538
1963-11-01T00:00:00Z,0.661427073930118,0.743567517966851,0.905989243184551
1963-12-01T00:00:00Z,0.643827163956,0.728747218221123,0.900005800922655
1964-01-01T00:00:00Z,0.633025088127917,0.719214874304053,0.895631913978907
1964-02-01T00:00:00Z,0.624572421933699,0.711829566905991,0.892346512343955
1964-03-01T00:00:00Z,0.620669324999872,0.708161727582606,0.890481168778465
1964-04-01T00:00:00Z,0.61511035499323,0.703550471959226,0.888642214623819
1964-05-01T00:00:00Z,0.607366847756817,0.697468221579039,0.886707907457198
1964-06-01T00:00:00Z,0.605373825231495,0.695975984924464,0.886338258702425
1964-07-01T00:00:00Z,0.612016777668276,0.701609298490904,0.888445253639921
1964-08-01T00:00:00Z,0.619235764586286,0.707761609132378,0.890688814482181
1964-09-01T00:00:00Z,0.626121205807125,0.713740492391622,0.892976797334078
1964-10-01T00:00:00Z,0.62888428109818,0.716400331689041,0.894257077061487
1964-11-01T00:00:00Z,0.640324406925512,0.726095233092485,0.897991955574881
1964-12-01T00:00:00Z,0.659567230622025,0.741943621659832,0.903505713117055
1965-01-01T00:00:00Z,0.687431858956015,0.764558152334549,0.911058417101667
1965-02-01T00:00:00Z,0.689813700576341,0.767063905504471,0.912500818351048
1965-03-01T00:00:00Z,0.702371568773363,0.777757238229297,0.916547117155727
1965-04-01T00:00:00Z,0.729921190930307,0.799885836980105,0.923815125537398
1965-05-01T00:00:00Z,0.761282081272072,0.824881534662911,0.931965358608043
1965-06-01T00:00:00Z,0.806538607162955,0.860113375628133,0.942882318235881
1965-07-01T00:00:00Z,0.7864497296713,0.845171542494173,0.93912334510251
1965-08-01T00:00:00Z,0.774586314615381,0.836232288117206,0.937038443822586
1965-09-01T00:00:00Z,0.769695324699883,0.832783884704485,0.936534236857364
1965-10-01T00:00:00Z,0.774551778817543,0.83657164384757,0.937974469712654
1965-11-01T00:00:00Z,0.778901369082544,0.839849153665898,0.93929100578622
1965-12-01T00:00:00Z,0.78570982917662,0.845935108738819,0.941997520708319
1966-01-01T00:00:00Z,0.801419284663073,0.858771020170573,0.946688789764963
1966-02-01T00:00:00Z,0.817246266528454,0.871982549820725,0.951960718494624
1966-03-01T00:00:00Z,0.847073188073592,0.895579965271643,0.959945855110943
1966-04-01T00:00:00Z,0.886876872563523,0.926176262475527,0.969641273877624
