Date,MPU_HRS
2008m4,55.05492
2008m5,87.132385
2008m6,71.724586
2008m7,74.30439
2008m8,121.09813
2008m9,95.980637
2008m10,99.853264
2008m11,45.529663
2008m12,43.8549
2009m1,44.098614
2009m2,50.630035
2009m3,47.241856
2009m4,69.421516
2009m5,66.34819
2009m6,37.100986
2009m7,56.797153
2009m8,66.430069
2009m9,26.194565
2009m10,37.725006
2009m11,105.77147
2009m12,60.598721
2010m1,90.885567
2010m2,96.729889
2010m3,73.813637
2010m4,55.333874
2010m5,73.499809
2010m6,100.98969
2010m7,121.32224
2010m8,166.4238
2010m9,151.35149
2010m10,135.15591
2010m11,107.04918
2010m12,102.07481
2011m1,58.562988
2011m2,68.077179
2011m3,75.335243
2011m4,83.740631
2011m5,63.882545
2011m6,39.148388
2011m7,102.29327
2011m8,102.94038
2011m9,166.27449
2011m10,115.63911
2011m11,85.216011
2011m12,59.349899
2012m1,93.451523
2012m2,117.76868
2012m3,55.577156
2012m4,50.389347
2012m5,71.748123
2012m6,136.09291
2012m7,104.63314
2012m8,65.924683
2012m9,103.81549
2012m10,126.70628
2012m11,76.956329
2012m12,139.01625
2013m1,112.69141
2013m2,69.997444
2013m3,71.136345
2013m4,55.922153
2013m5,57.841293
2013m6,175.16443
2013m7,75.786446
2013m8,95.67408
2013m9,133.45284
2013m10,180.99263
2013m11,83.779701
2013m12,81.673431
2014m1,112.50988
2014m2,104.31674
2014m3,98.600746
2014m4,65.223808
2014m5,117.07482
2014m6,74.993996
2014m7,112.79386
2014m8,124.4089
2014m9,82.885719
2014m10,89.745895
2014m11,42.306946
2014m12,55.184162
2015m1,170.60023
2015m2,145.99542
2015m3,152.12245
2015m4,109.05821
2015m5,105.06212
2015m6,116.11042
2015m7,149.75725
2015m8,224.70821
2015m9,279.51556
2015m10,201.74881
2015m11,92.095573
2015m12,121.27558
2016m1,190.11049
2016m2,205.40402
2016m3,127.52242
2016m4,95.565048
2016m5,67.94381
2016m6,362.43555
2016m7,276.25961
2016m8,133.37648
2016m9,109.95955
2016m10,125.47272
2016m11,294.4848
2016m12,159.17714
2017m1,233.52596
2017m2,134.14975
2017m3,121.56065
2017m4,133.11842
2017m5,110.77415
2017m6,133.01823
2017m7,155.95352
