Date,GPR,GPT,GPA
1985-01-01T00:00:00Z,69.74125052130468,73.45469615521306,45.79141742750753
1985-02-01T00:00:00Z,96.6284943286837,104.80080301529998,53.2288715058963
1985-03-01T00:00:00Z,91.40965222451285,86.55987792305329,113.26219475353845
1985-04-01T00:00:00Z,73.13658247406548,71.33623029404055,81.75434987802288
1985-05-01T00:00:00Z,66.846384198136,65.5078455338298,73.43009407201622
1985-06-01T00:00:00Z,106.1726817985898,87.62693333338063,215.97637760065385
1985-07-01T00:00:00Z,78.62877828723026,59.92968133223321,167.08207645494014
1985-08-01T00:00:00Z,54.829520071217786,48.446425233247986,79.97763079595211
1985-09-01T00:00:00Z,62.77758103339123,64.70489030260626,47.91009496889374
1985-10-01T00:00:00Z,104.95154042586879,79.24043156740035,239.87749641896525
1985-11-01T00:00:00Z,81.84273388789475,82.78466358602977,69.88541167307753
1985-12-01T00:00:00Z,68.71119035657962,57.415695062695626,130.28563396928615
1986-01-01T00:00:00Z,103.38163048697935,96.19116122528546,163.42093696244936
1986-02-01T00:00:00Z,43.474956832932484,38.66536698492025,66.11467486636802
1986-03-01T00:00:00Z,78.26102733973886,75.70883740768006,101.2264672462895
1986-04-01T00:00:00Z,209.02486037275634,146.88088785104992,614.9133197408155
1986-05-01T00:00:00Z,108.64312336820674,93.54029999683668,207.49608534764684
1986-06-01T00:00:00Z,56.44685871810098,50.46923366234286,90.37482097761712
1986-07-01T00:00:00Z,43.613882106694724,39.36663046354406,63.204724921694236
1986-08-01T00:00:00Z,60.98919562493812,51.93385230396963,108.72736394905904
1986-09-01T00:00:00Z,78.75724567328419,68.69950155070504,133.51727718802692
1986-10-01T00:00:00Z,78.17910604542652,73.8943633633516,97.56065185611727
1986-11-01T00:00:00Z,71.80514853655512,61.86325161894792,122.42256072914086
1986-12-01T00:00:00Z,59.14620601403882,56.25821779977694,74.4678247358397
1987-01-01T00:00:00Z,60.19359542201047,50.802782212687006,114.07901777260412
1987-02-01T00:00:00Z,68.14627401688885,70.31662977646538,58.09222276763422
1987-03-01T00:00:00Z,74.80673147717849,81.01542490552266,41.565279578909866
1987-04-01T00:00:00Z,69.24508253499314,70.75674015306548,55.749532824555594
1987-05-01T00:00:00Z,77.51880825724756,77.821417612831425,71.85447875941733
1987-06-01T00:00:00Z,85.64830376941018,85.52900593269861,84.62762341845455
1987-07-01T00:00:00Z,66.85156950505903,71.92090503498393,42.88297108981129
1987-08-01T00:00:00Z,88.99249563724399,96.20685866184131,52.95741361582247
1987-09-01T00:00:00Z,87.46253184808633,95.08644081255225,43.40135530792232
1987-10-01T00:00:00Z,72.38053021132205,78.83813634767301,55.758476121623865
1987-11-01T00:00:00Z,66.47308529895676,59.277706164245124,97.34337301621267
1987-12-01T00:00:00Z,88.46107963728481,90.57708406123272,73.40509548777143
1988-01-01T00:00:00Z,66.94839189333497,63.84925074456406,78.47906492457169
1988-02-01T00:00:00Z,61.3633970673232,58.26384326412365,70.38970121834429
1988-03-01T00:00:00Z,66.19807881166517,52.61139231430405,124.3582110945282
1988-04-01T00:00:00Z,69.73895756229192,70.24863787104056,63.98164045546124
1988-05-01T00:00:00Z,51.23568564238863,46.70814845843127,70.77220460999636
1988-06-01T00:00:00Z,54.76294957766872,47.83247422092825,85.56060055859119
1988-07-01T00:00:00Z,69.17404451921443,63.33299959971343,99.80067290900546
1988-08-01T00:00:00Z,54.622197056523056,53.39599524180415,64.64557378978142
1988-09-01T00:00:00Z,47.44345655146024,44.72109746122884,55.96296443256402
1988-10-01T00:00:00Z,44.404660394823765,49.24314218611512,20.36941126766036
1988-11-01T00:00:00Z,43.4261319274216,35.98635163756082,74.61525694320721
1988-12-01T00:00:00Z,78.47588324511506,63.874729409619704,146.40630588393563
1989-01-01T00:00:00Z,58.02844569385469,58.38124595188031,66.16269917816106
1989-02-01T00:00:00Z,50.38768389227184,52.82659726703497,50.34955393290622
1989-03-01T00:00:00Z,48.540746673382515,43.304558711668044,76.09027098829586
1989-04-01T00:00:00Z,44.40996729488986,50.17704073232254,18.677811587267392
1989-05-01T00:00:00Z,74.09097211889127,85.9815368126468,11.085580484823817
1989-06-01T00:00:00Z,37.423367307888434,41.309008897187624,15.622819994126685
1989-07-01T00:00:00Z,35.00942025574565,35.05822094557487,35.51466801472632
1989-08-01T00:00:00Z,60.30810272204159,59.64053388490057,73.38324796442434
1989-09-01T00:00:00Z,42.651203744219096,41.18107380583536,47.67684400430119
1989-10-01T00:00:00Z,40.864781654344775,44.113241428539304,25.387727762891515
1989-11-01T00:00:00Z,49.4392308028478,53.830285340969,24.14760891605426
1989-12-01T00:00:00Z,89.39443660780513,100.0869292756603,36.396420948026595
1990-01-01T00:00:00Z,58.95110035880047,65.66933299374469,23.60122328286214
1990-02-01T00:00:00Z,59.6607935530589,64.84813209630889,31.64538779695418
1990-03-01T00:00:00Z,50.739934162441834,56.43170223566722,20.92365894971925
1990-04-01T00:00:00Z,59.24819025122075,64.17627687002884,35.90397029005776
1990-05-01T00:00:00Z,62.10092016604128,69.59075648334954,26.24881087950439
1990-06-01T00:00:00Z,52.69285693489287,55.568913156849675,36.168548801612474
1990-07-01T00:00:00Z,59.65667183543635,66.01086085607878,29.72013405052832
1990-08-01T00:00:00Z,188.06452289829176,213.0843090744734,74.28227605967281
1990-09-01T00:00:00Z,138.92310233153248,155.73360628958974,50.4515541868688
1990-10-01T00:00:00Z,110.39678945700693,123.15268716793358,50.39898032930636
1990-11-01T00:00:00Z,164.98683393931876,186.81437885213927,68.2108498692018
